date;product_name;units;revenue;cost
2026-08-02;Микрофон Studio;2;10980;7200
2026-07-05;Клавиатура Mech;5;22450;14500
2026-07-23;Портативная колонка BoomBox;3;11970;6900
2026-05-28;Микрофон Studio;12;65880;43200
2026-06-12;Наушники AirSound Pro;10;59900;38000
2026-07-25;Смартфон Nova X;1;18990;14200
2026-06-02;Портативная колонка BoomBox;4;15960;9200
2026-05-26;Веб-камера HD;1;3490;2100
2026-05-14;Портативная колонка BoomBox;12;47880;27600
2026-06-13;Клавиатура Mech;9;40410;26100
2026-05-22;Портативная колонка BoomBox;8;31920;18400
2026-08-05;Фитнес-браслет Pulse;13;38870;22100
2026-07-16;Мышь Ergo;13;32370;19500
2026-06-23;Клавиатура Mech;7;31430;20300
2026-07-09;Фитнес-браслет Pulse;3;8970;5100
2026-07-23;Мышь Ergo;6;14940;9000
2026-07-24;Наушники AirSound Pro;7;41930;26600
2026-06-22;Зарядное устройство 65W;14;26460;12600
2026-07-31;Веб-камера HD;5;17450;10500
2026-05-29;Клавиатура Mech;8;35920;23200
2026-06-18;Наушники AirSound Pro;15;89850;57000
2026-06-29;Наушники AirSound Pro;9;53910;34200
2026-05-18;"Монитор 27""";11;175890;129800
2026-06-20;Ноутбук-станция;14;699860;539000
2026-05-07;Веб-камера HD;4;13960;8400
2026-05-13;Наушники AirSound Pro;1;5990;3800
2026-06-29;Портативная колонка BoomBox;13;51870;29900
2026-07-07;Наушники AirSound Pro;14;83860;53200
2026-06-18;"Монитор 27""";2;31980;23600
2026-05-16;Фитнес-браслет Pulse;8;23920;13600
2026-07-16;"Монитор 27""";6;95940;70800
2026-07-10;Зарядное устройство 65W;6;11340;5400
2026-05-08;Микрофон Studio;5;27450;18000
2026-05-15;Ноутбук-станция;11;549890;423500
2026-05-16;Наушники AirSound Pro;10;59900;38000
2026-07-05;Умные часы FitTrack;9;67410;46800
2026-06-18;Умные часы FitTrack;8;59920;41600
2026-05-16;Фитнес-браслет Pulse;15;44850;25500
2026-07-08;Клавиатура Mech;9;40410;26100
2026-07-29;Микрофон Studio;6;32940;21600
2026-08-01;Портативная колонка BoomBox;14;55860;32200
2026-06-15;Мышь Ergo;6;14940;9000
2026-07-09;Фитнес-браслет Pulse;2;5980;3400
2026-06-26;Ноутбук-станция;10;499900;385000
2026-06-03;Портативная колонка BoomBox;11;43890;25300
2026-05-15;Кабель USB-C 2м;15;8850;3150
2026-07-03;Чехол для телефона;3;2670;1140
2026-05-26;Умные часы FitTrack;4;29960;20800
2026-05-23;Внешний SSD 1TB;5;44950;30500
2026-05-23;Кабель USB-C 2м;15;8850;3150
2026-07-08;Кабель USB-C 2м;6;3540;1260
2026-06-03;Умные часы FitTrack;9;67410;46800
2026-07-30;Наушники AirSound Pro;13;77870;49400
2026-07-17;"Монитор 27""";2;31980;23600
2026-05-10;Микрофон Studio;3;16470;10800
2026-07-28;Кабель USB-C 2м;10;5900;2100
2026-05-21;Кабель USB-C 2м;7;4130;1470
2026-07-04;Чехол для телефона;9;8010;3420
2026-08-04;Внешний SSD 1TB;14;125860;85400
2026-07-22;Микрофон Studio;12;65880;43200
2026-05-29;Микрофон Studio;15;82350;54000
2026-05-15;Мышь Ergo;5;12450;7500
2026-06-29;Зарядное устройство 65W;2;3780;1800
2026-06-08;Кабель USB-C 2м;3;1770;630
2026-07-03;Смартфон Nova X;12;227880;170400
2026-07-14;Внешний SSD 1TB;13;116870;79300
2026-07-23;Внешний SSD 1TB;15;134850;91500
2026-06-28;"Монитор 27""";11;175890;129800
2026-06-02;"Монитор 27""";11;175890;129800
2026-07-17;Веб-камера HD;4;13960;8400
2026-07-16;Зарядное устройство 65W;13;24570;11700
2026-05-30;Внешний SSD 1TB;13;116870;79300
2026-05-21;Ноутбук-станция;1;49990;38500
2026-08-03;Зарядное устройство 65W;8;15120;7200
2026-06-20;Наушники AirSound Pro;15;89850;57000
2026-06-27;Ноутбук-станция;14;699860;539000
2026-07-06;Портативная колонка BoomBox;1;3990;2300
2026-07-26;Ноутбук-станция;10;499900;385000
2026-06-04;Наушники AirSound Pro;12;71880;45600
2026-05-29;"Монитор 27""";2;31980;23600
2026-07-20;Мышь Ergo;3;7470;4500
2026-05-27;Микрофон Studio;8;43920;28800
2026-05-30;Умные часы FitTrack;5;37450;26000
2026-06-12;"Монитор 27""";10;159900;118000
2026-05-28;Портативная колонка BoomBox;15;59850;34500
2026-05-09;Мышь Ergo;12;29880;18000
2026-06-27;Портативная колонка BoomBox;12;47880;27600
2026-05-14;Кабель USB-C 2м;11;6490;2310
2026-05-31;Зарядное устройство 65W;8;15120;7200
2026-07-05;Чехол для телефона;2;1780;760
2026-06-23;Портативная колонка BoomBox;2;7980;4600
2026-05-27;Смартфон Nova X;10;189900;142000
2026-07-08;Портативная колонка BoomBox;10;39900;23000
2026-05-07;Смартфон Nova X;2;37980;28400
2026-07-07;Микрофон Studio;1;5490;3600
2026-08-01;Наушники AirSound Pro;15;89850;57000
2026-07-27;"Монитор 27""";6;95940;70800
2026-07-01;Внешний SSD 1TB;4;35960;24400
2026-07-09;Микрофон Studio;8;43920;28800
2026-05-24;Внешний SSD 1TB;3;26970;18300
2026-07-05;Веб-камера HD;8;27920;16800
2026-06-14;Мышь Ergo;8;19920;12000
2026-07-24;Портативная колонка BoomBox;2;7980;4600
2026-06-21;Микрофон Studio;7;38430;25200
2026-06-07;Кабель USB-C 2м;7;4130;1470
2026-07-30;"Монитор 27""";12;191880;141600
2026-05-15;Микрофон Studio;11;60390;39600
2026-06-15;Наушники AirSound Pro;1;5990;3800
2026-07-23;Клавиатура Mech;6;26940;17400
2026-07-12;Портативная колонка BoomBox;4;15960;9200
2026-07-19;Внешний SSD 1TB;8;71920;48800
2026-07-01;Кабель USB-C 2м;3;1770;630
2026-07-27;Чехол для телефона;4;3560;1520
2026-05-27;Чехол для телефона;13;11570;4940
2026-05-14;Наушники AirSound Pro;1;5990;3800
2026-08-04;Внешний SSD 1TB;14;125860;85400
2026-07-06;Наушники AirSound Pro;15;89850;57000
2026-06-04;Умные часы FitTrack;7;52430;36400
2026-06-15;Чехол для телефона;4;3560;1520
2026-07-15;Ноутбук-станция;1;49990;38500
2026-06-17;Кабель USB-C 2м;1;590;210
2026-06-08;Фитнес-браслет Pulse;15;44850;25500
2026-05-08;Фитнес-браслет Pulse;7;20930;11900
2026-05-26;Клавиатура Mech;13;58370;37700
2026-06-04;Микрофон Studio;12;65880;43200
2026-06-29;Умные часы FitTrack;4;29960;20800
2026-05-23;Портативная колонка BoomBox;1;3990;2300
2026-07-29;Клавиатура Mech;9;40410;26100
2026-07-29;Клавиатура Mech;6;26940;17400
2026-06-05;Смартфон Nova X;10;189900;142000
2026-05-30;Внешний SSD 1TB;15;134850;91500
2026-06-01;Умные часы FitTrack;1;7490;5200
2026-07-13;Наушники AirSound Pro;14;83860;53200
2026-07-28;Наушники AirSound Pro;10;59900;38000
2026-07-06;Микрофон Studio;14;76860;50400
2026-05-25;Кабель USB-C 2м;2;1180;420
2026-05-21;Портативная колонка BoomBox;10;39900;23000
2026-07-26;Смартфон Nova X;10;189900;142000
2026-05-23;Кабель USB-C 2м;11;6490;2310
2026-06-26;Веб-камера HD;9;31410;18900
2026-07-10;Ноутбук-станция;5;249950;192500
2026-06-26;Микрофон Studio;12;65880;43200
2026-06-16;Портативная колонка BoomBox;5;19950;11500
2026-05-15;Умные часы FitTrack;11;82390;57200
2026-06-26;Фитнес-браслет Pulse;8;23920;13600
2026-07-27;Ноутбук-станция;13;649870;500500
2026-05-18;Смартфон Nova X;8;151920;113600
2026-07-27;Веб-камера HD;2;6980;4200
2026-06-02;Внешний SSD 1TB;4;35960;24400
2026-06-22;Фитнес-браслет Pulse;3;8970;5100
2026-07-05;Ноутбук-станция;2;99980;77000
2026-07-16;Зарядное устройство 65W;5;9450;4500
2026-05-28;Чехол для телефона;14;12460;5320
2026-05-19;Клавиатура Mech;5;22450;14500
2026-05-30;Мышь Ergo;11;27390;16500
2026-05-27;Смартфон Nova X;11;208890;156200
2026-05-13;Фитнес-браслет Pulse;15;44850;25500
2026-07-19;Наушники AirSound Pro;15;89850;57000
2026-07-23;Фитнес-браслет Pulse;2;5980;3400
2026-07-17;Клавиатура Mech;9;40410;26100
2026-05-20;Фитнес-браслет Pulse;5;14950;8500
2026-06-23;Портативная колонка BoomBox;12;47880;27600
2026-05-16;Портативная колонка BoomBox;11;43890;25300
2026-06-02;"Монитор 27""";5;79950;59000
2026-07-30;Чехол для телефона;5;4450;1900
2026-06-12;Наушники AirSound Pro;11;65890;41800
2026-07-31;"Монитор 27""";5;79950;59000
2026-07-20;Смартфон Nova X;6;113940;85200
2026-07-16;Микрофон Studio;5;27450;18000
2026-05-27;Клавиатура Mech;8;35920;23200
2026-05-26;Клавиатура Mech;7;31430;20300
2026-07-27;Смартфон Nova X;2;37980;28400
2026-07-17;Ноутбук-станция;12;599880;462000
2026-06-19;Внешний SSD 1TB;1;8990;6100
2026-07-18;Веб-камера HD;9;31410;18900
2026-07-31;Кабель USB-C 2м;3;1770;630
2026-07-31;Фитнес-браслет Pulse;6;17940;10200
2026-07-10;Ноутбук-станция;6;299940;231000
2026-05-12;Микрофон Studio;4;21960;14400
2026-05-26;Наушники AirSound Pro;6;35940;22800
2026-06-14;Ноутбук-станция;14;699860;539000
2026-07-17;Веб-камера HD;12;41880;25200
2026-07-06;Ноутбук-станция;15;749850;577500
2026-07-14;"Монитор 27""";3;47970;35400
2026-08-02;Ноутбук-станция;7;349930;269500
2026-06-24;Умные часы FitTrack;12;89880;62400
2026-06-14;Мышь Ergo;15;37350;22500
2026-07-05;Мышь Ergo;11;27390;16500
2026-05-08;Фитнес-браслет Pulse;3;8970;5100
2026-08-01;Наушники AirSound Pro;7;41930;26600
2026-07-08;"Монитор 27""";8;127920;94400
2026-06-08;Портативная колонка BoomBox;14;55860;32200
2026-07-07;Зарядное устройство 65W;5;9450;4500
2026-05-13;Портативная колонка BoomBox;1;3990;2300
2026-06-24;Портативная колонка BoomBox;7;27930;16100
2026-07-28;Фитнес-браслет Pulse;14;41860;23800
2026-06-22;Мышь Ergo;5;12450;7500
2026-06-15;Микрофон Studio;9;49410;32400
2026-05-29;Микрофон Studio;14;76860;50400
2026-07-22;Зарядное устройство 65W;1;1890;900
2026-07-14;Ноутбук-станция;5;249950;192500
